frame,substep,transition,dEnergy,dSpeed,dGXV,dGrad,toStage,toMaxGradName,toMaxGradX,toMaxGradY
274,2,"afterRhs->afterNewGradV",0,0,-0.000005245,-0.000005245,"afterNewGradV","GXV",79,64
274,2,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,3,"beforeCip->afterCipVelocity",0.000115894,0.000263621,0.002303541,0.002303541,"afterCipVelocity","GXV",79,64
274,3,"afterCipVelocity->afterRhs",-0.000006837,-0.00007224,0,0,"afterRhs","GXV",79,64
274,3,"afterRhs->afterNewGradV",0,0,-0.000005275,-0.000005275,"afterNewGradV","GXV",79,64
274,3,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,4,"beforeCip->afterCipVelocity",0.000117842,0.000265768,0.002320141,0.002320141,"afterCipVelocity","GXV",79,64
274,4,"afterCipVelocity->afterRhs",-0.000006841,-0.000072575,0,0,"afterRhs","GXV",79,64
274,4,"afterRhs->afterNewGradV",0,0,-0.000005275,-0.000005275,"afterNewGradV","GXV",79,64
274,4,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,5,"beforeCip->afterCipVelocity",0.000119828,0.000267923,0.00233689,0.00233689,"afterCipVelocity","GXV",79,64
274,5,"afterCipVelocity->afterRhs",-0.000006845,-0.00007291,0,0,"afterRhs","GXV",79,64
274,5,"afterRhs->afterNewGradV",0,0,-0.000005275,-0.000005275,"afterNewGradV","GXV",79,64
274,5,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,6,"beforeCip->afterCipVelocity",0.000121849,0.000270081,0.002353817,0.002353817,"afterCipVelocity","GXV",79,64
274,6,"afterCipVelocity->afterRhs",-0.00000685,-0.00007324,0,0,"afterRhs","GXV",79,64
274,6,"afterRhs->afterNewGradV",0,0,-0.000005305,-0.000005305,"afterNewGradV","GXV",79,64
274,6,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,7,"beforeCip->afterCipVelocity",0.000123906,0.000272239,0.002370864,0.002370864,"afterCipVelocity","GXV",79,64
274,7,"afterCipVelocity->afterRhs",-0.000006855,-0.000073559,0,0,"afterRhs","GXV",79,64
274,7,"afterRhs->afterNewGradV",0,0,-0.000005305,-0.000005305,"afterNewGradV","GXV",79,64
274,7,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,8,"beforeCip->afterCipVelocity",0.000126005,0.000274401,0.00238812,0.00238812,"afterCipVelocity","GXV",79,64
274,8,"afterCipVelocity->afterRhs",-0.000006859,-0.000073877,0,0,"afterRhs","GXV",79,64
274,8,"afterRhs->afterNewGradV",0,0,-0.000005305,-0.000005305,"afterNewGradV","GXV",79,64
274,8,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,9,"beforeCip->afterCipVelocity",0.000128139,0.000276559,0.002405494,0.002405494,"afterCipVelocity","GXV",79,64
274,9,"afterCipVelocity->afterRhs",-0.000006863,-0.000074184,0,0,"afterRhs","GXV",79,64
274,9,"afterRhs->afterNewGradV",0,0,-0.000005305,-0.000005305,"afterNewGradV","GXV",79,64
274,9,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,10,"beforeCip->afterCipVelocity",0.000130313,0.00027872,0.002423048,0.002423048,"afterCipVelocity","GXV",79,64
274,10,"afterCipVelocity->afterRhs",-0.00000687,-0.000074484,0,0,"afterRhs","GXV",79,64
274,10,"afterRhs->afterNewGradV",0,0,-0.000005335,-0.000005335,"afterNewGradV","GXV",79,64
274,10,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,11,"beforeCip->afterCipVelocity",0.000132529,0.000280881,0.00244078,0.00244078,"afterCipVelocity","GXV",79,64
274,11,"afterCipVelocity->afterRhs",-0.000006874,-0.000074782,0,0,"afterRhs","GXV",79,64
274,11,"afterRhs->afterNewGradV",0,0,-0.000005335,-0.000005335,"afterNewGradV","GXV",79,64
274,11,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
275,0,"beforeCip->afterCipVelocity",0.000134785,0.000283042,0.002458662,0.002458662,"afterCipVelocity","GXV",79,64
275,0,"afterCipVelocity->afterRhs",-0.000006879,-0.000075066,0,0,"afterRhs","GXV",79,64
275,0,"afterRhs->afterNewGradV",0,0,-0.000005335,-0.000005335,"afterNewGradV","GXV",79,64
275,0,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
275,1,"beforeCip->afterCipVelocity",0.000137084,0.000285199,0.002476722,0.002476722,"afterCipVelocity","GXV",79,64
275,1,"afterCipVelocity->afterRhs",-0.000006886,-0.000075349,0,0,"afterRhs","GXV",79,64
